 71
 1.0000E+03 9.2270E+05
 1.2500E+03 5.9096E+05
 1.5000E+03 4.1070E+05
 1.5885E+03 3.6430E+05
 1.5885E+03 4.5300E+05
 1.6137E+03 6.6878E+05
 1.6394E+03 9.8650E+05
 1.6394E+03 1.1310E+06
 1.7500E+03 1.0862E+06
 2.0000E+03 1.0000E+06
 2.0236E+03 9.7100E+05
 2.0236E+03 1.1270E+06
 2.1402E+03 9.8439E+05
 2.2635E+03 8.5990E+05
 2.2635E+03 9.1390E+05
 2.3746E+03 8.1811E+05
 2.4912E+03 7.3260E+05
 2.4912E+03 7.6440E+05
 2.5000E+03 7.5802E+05
 3.0000E+03 4.9420E+05
 3.5000E+03 3.4032E+05
 4.0000E+03 2.4630E+05
 4.5000E+03 1.8367E+05
 5.0000E+03 1.4130E+05
 6.0000E+03 8.9020E+04
 7.0000E+03 5.9871E+04
 8.0000E+03 4.2460E+04
 9.0000E+03 3.1237E+04
 9.2441E+03 2.9130E+04
 9.2441E+03 7.7200E+04
 1.0000E+04 6.2990E+04
 1.0349E+04 5.7460E+04
 1.0349E+04 7.8920E+04
 1.0606E+04 7.4332E+04
 1.0870E+04 7.0020E+04
 1.0870E+04 8.0950E+04
 1.2500E+04 5.6549E+04
 1.5000E+04 3.5410E+04
 1.7500E+04 2.3523E+04
 2.0000E+04 1.6510E+04
 2.5000E+04 9.0343E+03
 3.0000E+04 5.5220E+03
 3.5000E+04 3.6164E+03
 4.0000E+04 2.5070E+03
 4.5000E+04 1.8089E+03
 5.0000E+04 1.3510E+03
 6.0000E+04 8.1280E+02
 6.3314E+04 6.9940E+02
 6.3314E+04 3.6570E+03
 7.0000E+04 2.8108E+03
 8.0000E+04 1.9780E+03
 9.0000E+04 1.4473E+03
 1.0000E+05 1.0920E+03
 1.2500E+05 5.9766E+02
 1.5000E+05 3.6370E+02
 1.7500E+05 2.3869E+02
 2.0000E+05 1.6580E+02
 2.5000E+05 9.0568E+01
 3.0000E+05 5.5680E+01
 3.5000E+05 3.7198E+01
 4.0000E+05 2.6420E+01
 4.5000E+05 1.9665E+01
 5.0000E+05 1.5190E+01
 6.0000E+05 9.8580E+00
 7.0000E+05 6.9400E+00
 8.0000E+05 5.1790E+00
 9.0000E+05 4.0366E+00
 1.0000E+06 3.2510E+00
 1.0220E+06 3.1110E+00 1.0000E-35
 1.2500E+06 2.0980E+00 8.8020E-02
 1.5000E+06 1.4960E+00 4.0980E-01
 1.7500E+06 1.1382E+00 8.3412E-01
 2.0000E+06 9.0650E-01 1.2840E+00
 2.0440E+06 8.7420E-01 1.3640E+00
 2.5000E+06 6.3086E-01 2.1657E+00
 3.0000E+06 4.7610E-01 2.9739E+00
 3.5000E+06 3.7889E-01 3.7157E+00
 4.0000E+06 3.1290E-01 4.3977E+00
 4.5000E+06 2.6550E-01 5.0242E+00
 5.0000E+06 2.3000E-01 5.6022E+00
 6.0000E+06 1.8070E-01 6.6385E+00
 7.0000E+06 1.4830E-01 7.5548E+00
 8.0000E+06 1.2540E-01 8.3797E+00
 9.0000E+06 1.0850E-01 9.1301E+00
 1.0000E+07 9.5570E-02 9.8188E+00
 1.1000E+07 8.5320E-02 1.0452E+01
 1.2000E+07 7.7020E-02 1.1052E+01
 1.3000E+07 7.0170E-02 1.1601E+01
 1.4000E+07 6.4430E-02 1.2119E+01
 1.5000E+07 5.9540E-02 1.2597E+01
 1.6000E+07 5.5330E-02 1.3045E+01
 1.8000E+07 4.8470E-02 1.3859E+01
 2.0000E+07 4.3100E-02 1.4572E+01
 2.2000E+07 3.8800E-02 1.5224E+01
 2.4000E+07 3.5280E-02 1.5825E+01
 2.6000E+07 3.2330E-02 1.6365E+01
 2.8000E+07 2.9840E-02 1.6864E+01
 3.0000E+07 2.7710E-02 1.7322E+01
 3.5000E+07 2.3505E-02 1.8334E+01
 4.0000E+07 2.0400E-02 1.9198E+01
 4.5000E+07 1.8016E-02 1.9944E+01
 5.0000E+07 1.6130E-02 2.0594E+01
 6.0000E+07 1.3340E-02 2.1675E+01
 7.0000E+07 1.1373E-02 2.2551E+01
 8.0000E+07 9.9110E-03 2.3276E+01
 9.0000E+07 8.7815E-03 2.3882E+01
 1.0000E+08 7.8830E-03 2.4399E+01
 1.2500E+08 6.2773E-03 2.5419E+01
 1.5000E+08 5.2150E-03 2.6176E+01
 1.7500E+08 4.4600E-03 2.6760E+01
 2.0000E+08 3.8960E-03 2.7229E+01
 2.5000E+08 3.1095E-03 2.7940E+01
 3.0000E+08 2.5870E-03 2.8457E+01
 3.5000E+08 2.2146E-03 2.8852E+01
