 41
 1.0000E+03 7.0850E+05
 1.2500E+03 4.2051E+05
 1.5000E+03 2.7460E+05
 1.7500E+03 1.8864E+05
 2.0000E+03 1.3630E+05
 2.3705E+03 8.9290E+04
 2.3705E+03 3.3560E+05
 2.4171E+03 3.1604E+05
 2.4647E+03 2.9770E+05
 2.4647E+03 4.1470E+05
 2.5000E+03 4.0056E+05
 2.6977E+03 3.3260E+05
 2.6977E+03 3.8020E+05
 3.0000E+03 2.9320E+05
 3.5000E+03 1.9785E+05
 4.0000E+03 1.4070E+05
 4.5000E+03 1.0347E+05
 5.0000E+03 7.8590E+04
 6.0000E+03 4.8400E+04
 7.0000E+03 3.1898E+04
 8.0000E+03 2.2230E+04
 9.0000E+03 1.6088E+04
 1.0000E+04 1.2050E+04
 1.2500E+04 6.4676E+03
 1.5000E+04 3.8910E+03
 1.7500E+04 2.5177E+03
 1.8986E+04 2.0000E+03
 1.8986E+04 1.3370E+04
 2.0000E+04 1.1730E+04
 2.5000E+04 6.5621E+03
 3.0000E+04 4.0110E+03
 3.5000E+04 2.6286E+03
 4.0000E+04 1.8150E+03
 4.5000E+04 1.3045E+03
 5.0000E+04 9.6830E+02
 6.0000E+04 5.7530E+02
 7.0000E+04 3.6868E+02
 8.0000E+04 2.5000E+02
 9.0000E+04 1.7714E+02
 1.0000E+05 1.3000E+02
 1.2500E+05 6.7351E+01
 1.5000E+05 3.9320E+01
 1.7500E+05 2.4963E+01
 2.0000E+05 1.6870E+01
 2.5000E+05 8.8250E+00
 3.0000E+05 5.2490E+00
 3.5000E+05 3.4155E+00
 4.0000E+05 2.3750E+00
 4.5000E+05 1.7378E+00
 5.0000E+05 1.3240E+00
 6.0000E+05 8.4110E-01
 7.0000E+05 5.8223E-01
 8.0000E+05 4.3230E-01
 9.0000E+05 3.3835E-01
 1.0000E+06 2.6940E-01
 1.0220E+06 2.5630E-01 1.0000E-35
 1.2500E+06 1.7300E-01 2.0050E-02
 1.5000E+06 1.2420E-01 9.5750E-02
 1.7500E+06 9.4883E-02 2.0830E-01
 2.0000E+06 7.5920E-02 3.4120E-01
 2.0440E+06 7.3270E-02 3.6550E-01
 2.5000E+06 5.3326E-02 6.2392E-01
 3.0000E+06 4.0610E-02 9.0485E-01
 3.5000E+06 3.2567E-02 1.1702E+00
 4.0000E+06 2.7070E-02 1.4187E+00
 4.5000E+06 2.3098E-02 1.6522E+00
 5.0000E+06 2.0110E-02 1.8704E+00
 6.0000E+06 1.5930E-02 2.2646E+00
 7.0000E+06 1.3150E-02 2.6178E+00
 8.0000E+06 1.1190E-02 2.9367E+00
 9.0000E+06 9.7210E-03 3.2253E+00
 1.0000E+07 8.5910E-03 3.4906E+00
 1.1000E+07 7.6930E-03 3.7326E+00
 1.2000E+07 6.9630E-03 3.9562E+00
 1.3000E+07 6.3580E-03 4.1615E+00
 1.4000E+07 5.8490E-03 4.3506E+00
 1.5000E+07 5.4150E-03 4.5274E+00
 1.6000E+07 5.0400E-03 4.6929E+00
 1.8000E+07 4.4260E-03 4.9953E+00
 2.0000E+07 3.9450E-03 5.2670E+00
 2.2000E+07 3.5580E-03 5.5130E+00
 2.4000E+07 3.2400E-03 5.7375E+00
 2.6000E+07 2.9730E-03 5.9414E+00
 2.8000E+07 2.7480E-03 6.1290E+00
 3.0000E+07 2.5530E-03 6.3021E+00
 3.5000E+07 2.1690E-03 6.6821E+00
 4.0000E+07 1.8860E-03 7.0035E+00
 4.5000E+07 1.6678E-03 7.2810E+00
 5.0000E+07 1.4950E-03 7.5237E+00
 6.0000E+07 1.2390E-03 7.9296E+00
 7.0000E+07 1.0573E-03 8.2579E+00
 8.0000E+07 9.2180E-04 8.5300E+00
 9.0000E+07 8.1721E-04 8.7595E+00
 1.0000E+08 7.3400E-04 8.9562E+00
 1.2500E+08 5.8502E-04 9.3459E+00
 1.5000E+08 4.8630E-04 9.6368E+00
 1.7500E+08 4.1610E-04 9.8635E+00
 2.0000E+08 3.6360E-04 1.0045E+01
 2.5000E+08 2.9028E-04 1.0316E+01
 3.0000E+08 2.4160E-04 1.0516E+01
 3.5000E+08 2.0696E-04 1.0673E+01
 4.0000E+08 1.8100E-04 1.0797E+01
 4.5000E+08 1.6078E-04 1.0893E+01
 5.0000E+08 1.4460E-04 1.0975E+01
 6.0000E+08 1.2040E-04 1.1110E+01
 7.0000E+08 1.0317E-04 1.1205E+01
 8.0000E+08 9.0260E-05 1.1278E+01
 9.0000E+08 8.0216E-05 1.1340E+01
 1.0000E+09 7.2180E-05 1.1393E+01
 1.5000E+09 4.8090E-05 1.1551E+01
 2.0000E+09 3.6050E-05 1.1645E+01
 3.0000E+09 2.4030E-05 1.1740E+01
 4.0000E+09 1.8020E-05 1.1792E+01
 5.0000E+09 1.4410E-05 1.1824E+01
 6.0000E+09 1.2010E-05 1.1845E+01
 8.0000E+09 9.0070E-06 1.1877E+01
 1.0000E+10 7.2050E-06 1.1898E+01
 1.5000E+10 4.8030E-06 1.1919E+01
 2.0000E+10 3.6020E-06 1.1940E+01
 3.0000E+10 2.4010E-06 1.1951E+01
 4.0000E+10 1.8010E-06 1.1962E+01
 5.0000E+10 1.4410E-06 1.1962E+01
 6.0000E+10 1.2010E-06 1.1962E+01
 8.0000E+10 9.0050E-07 1.1972E+01
 1.0000E+11 7.2040E-07 1.1972E+01
