 70
 2.00E+05 1.236E+07 3.925E+04 9.571E+04 1.236E+07 2.762E+04 7.151E+04 1.359E+07
 2.50E+05 1.111E+07 2.791E+04 6.891E+04 1.111E+07 1.954E+04 5.133E+04 1.463E+07
 3.00E+05 1.027E+07 2.118E+04 5.279E+04 1.027E+07 1.476E+04 3.920E+04 1.564E+07
 3.50E+05 9.655E+06 1.679E+04 4.219E+04 9.655E+06 1.166E+04 3.124E+04 1.666E+07
 4.00E+05 9.196E+06 1.375E+04 3.478E+04 9.196E+06 9.523E+03 2.569E+04 1.770E+07
 4.50E+05 8.841E+06 1.154E+04 2.933E+04 8.841E+06 7.973E+03 2.164E+04 1.875E+07
 5.00E+05 8.558E+06 9.867E+03 2.520E+04 8.558E+06 6.808E+03 1.857E+04 1.982E+07
 6.00E+05 8.139E+06 7.529E+03 1.937E+04 8.139E+06 5.187E+03 1.426E+04 2.201E+07
 7.00E+05 7.846E+06 5.991E+03 1.551E+04 7.846E+06 4.127E+03 1.142E+04 2.426E+07
 8.00E+05 7.633E+06 4.913E+03 1.278E+04 7.633E+06 3.388E+03 9.418E+03 2.658E+07
 9.00E+05 7.471E+06 4.122E+03 1.076E+04 7.471E+06 2.846E+03 7.944E+03 2.894E+07
 1.00E+06 7.345E+06 3.521E+03 9.225E+03 7.345E+06 2.436E+03 6.820E+03 3.136E+07
 1.25E+06 7.130E+06 2.515E+03 6.632E+03 7.130E+06 1.749E+03 4.926E+03 3.761E+07
 1.50E+06 6.996E+06 1.904E+03 5.044E+03 6.996E+06 1.331E+03 3.766E+03 4.411E+07
 1.75E+06 6.907E+06 1.500E+03 3.989E+03 6.907E+06 1.055E+03 2.993E+03 5.081E+07
 2.00E+06 6.845E+06 1.217E+03 3.247E+03 6.845E+06 8.604E+02 2.447E+03 5.769E+07
 2.50E+06 6.765E+06 8.534E+02 2.288E+03 6.765E+06 6.092E+02 1.739E+03 7.185E+07
 3.00E+06 6.718E+06 6.352E+02 1.709E+03 6.718E+06 4.573E+02 1.308E+03 8.642E+07
 3.50E+06 6.688E+06 4.931E+02 1.331E+03 6.688E+06 3.575E+02 1.025E+03 1.013E+08
 4.00E+06 6.667E+06 3.948E+02 1.068E+03 6.667E+06 2.881E+02 8.271E+02 1.165E+08
 4.50E+06 6.652E+06 3.239E+02 8.781E+02 6.652E+06 2.377E+02 6.831E+02 1.320E+08
 5.00E+06 6.641E+06 2.708E+02 7.357E+02 6.641E+06 1.998E+02 5.748E+02 1.476E+08
