 17
 1.0000E+03 1.6650E+05
 1.2500E+03 9.2632E+04
 1.5000E+03 5.7360E+04
 1.7500E+03 3.7892E+04
 2.0000E+03 2.6460E+04
 2.5000E+03 1.4373E+04
 2.8224E+03 1.0320E+04
 2.8224E+03 9.6220E+04
 3.0000E+03 8.6580E+04
 3.5000E+03 6.0023E+04
 4.0000E+03 4.1330E+04
 4.5000E+03 3.0155E+04
 5.0000E+03 2.2880E+04
 6.0000E+03 1.3960E+04
 7.0000E+03 9.1125E+03
 8.0000E+03 6.2690E+03
 9.0000E+03 4.4898E+03
 1.0000E+04 3.3210E+03
 1.2500E+04 1.7390E+03
 1.5000E+04 1.0170E+03
 1.7500E+04 6.4289E+02
 2.0000E+04 4.3060E+02
 2.5000E+04 2.1892E+02
 3.0000E+04 1.2520E+02
 3.5000E+04 7.7746E+01
 4.0000E+04 5.1330E+01
 4.5000E+04 3.5535E+01
 5.0000E+04 2.5540E+01
 6.0000E+04 1.4380E+01
 7.0000E+04 8.8323E+00
 8.0000E+04 5.7840E+00
 9.0000E+04 3.9786E+00
 1.0000E+05 2.8460E+00
 1.2500E+05 1.4007E+00
 1.5000E+05 7.8650E-01
 1.7500E+05 4.8412E-01
 2.0000E+05 3.1900E-01
 2.5000E+05 1.6045E-01
 3.0000E+05 9.2720E-02
 3.5000E+05 5.9029E-02
 4.0000E+05 4.0340E-02
 4.5000E+05 2.9105E-02
 5.0000E+05 2.1940E-02
 6.0000E+05 1.3740E-02
 7.0000E+05 9.3908E-03
 8.0000E+05 6.9630E-03
 9.0000E+05 5.4958E-03
 1.0000E+06 4.3310E-03
 1.0220E+06 4.0950E-03 1.0000E-35
 1.2500E+06 2.7740E-03 2.4970E-03
 1.5000E+06 2.0060E-03 1.3370E-02
 1.7500E+06 1.5448E-03 3.0786E-02
 2.0000E+06 1.2470E-03 5.2270E-02
 2.0440E+06 1.2050E-03 5.6320E-02
 2.5000E+06 8.8857E-04 9.9979E-02
 3.0000E+06 6.8540E-04 1.4839E-01
 3.5000E+06 5.5530E-04 1.9563E-01
 4.0000E+06 4.6550E-04 2.4080E-01
 4.5000E+06 4.0013E-04 2.8349E-01
 5.0000E+06 3.5050E-04 3.2388E-01
 6.0000E+06 2.8030E-04 3.9857E-01
 7.0000E+06 2.3330E-04 4.6545E-01
 8.0000E+06 1.9960E-04 5.2575E-01
 9.0000E+06 1.7430E-04 5.8062E-01
 1.0000E+07 1.5470E-04 6.3046E-01
 1.1000E+07 1.3900E-04 6.7577E-01
 1.2000E+07 1.2610E-04 7.1743E-01
 1.3000E+07 1.1550E-04 7.5607E-01
 1.4000E+07 1.0650E-04 7.9210E-01
 1.5000E+07 9.8750E-05 8.2572E-01
 1.6000E+07 9.2070E-05 8.5734E-01
 1.8000E+07 8.1090E-05 9.1522E-01
 2.0000E+07 7.2450E-05 9.6709E-01
 2.2000E+07 6.5460E-05 1.0140E+00
 2.4000E+07 5.9710E-05 1.0567E+00
 2.6000E+07 5.4880E-05 1.0962E+00
 2.8000E+07 5.0770E-05 1.1316E+00
 3.0000E+07 4.7230E-05 1.1649E+00
 3.5000E+07 4.0225E-05 1.2394E+00
 4.0000E+07 3.5030E-05 1.3032E+00
 4.5000E+07 3.1018E-05 1.3582E+00
 5.0000E+07 2.7830E-05 1.4064E+00
 6.0000E+07 2.3090E-05 1.4872E+00
 7.0000E+07 1.9728E-05 1.5521E+00
 8.0000E+07 1.7220E-05 1.6060E+00
 9.0000E+07 1.5278E-05 1.6523E+00
 1.0000E+08 1.3730E-05 1.6926E+00
 1.2500E+08 1.0952E-05 1.7729E+00
 1.5000E+08 9.1090E-06 1.8337E+00
 1.7500E+08 7.7973E-06 1.8818E+00
 2.0000E+08 6.8160E-06 1.9209E+00
 2.5000E+08 5.4449E-06 1.9806E+00
 3.0000E+08 4.5330E-06 2.0240E+00
 3.5000E+08 3.8829E-06 2.0571E+00
 4.0000E+08 3.3960E-06 2.0835E+00
 4.5000E+08 3.0176E-06 2.1056E+00
 5.0000E+08 2.7150E-06 2.1243E+00
 6.0000E+08 2.2610E-06 2.1532E+00
 7.0000E+08 1.9373E-06 2.1749E+00
 8.0000E+08 1.6950E-06 2.1921E+00
 9.0000E+08 1.5067E-06 2.2061E+00
 1.0000E+09 1.3560E-06 2.2177E+00
 1.5000E+09 9.0330E-07 2.2547E+00
 2.0000E+09 6.7730E-07 2.2749E+00
 3.0000E+09 4.5140E-07 2.2964E+00
 4.0000E+09 3.3850E-07 2.3089E+00
 5.0000E+09 2.7080E-07 2.3168E+00
 6.0000E+09 2.2570E-07 2.3214E+00
 8.0000E+09 1.6920E-07 2.3292E+00
 1.0000E+10 1.3540E-07 2.3327E+00
 1.5000E+10 9.0260E-08 2.3395E+00
 2.0000E+10 6.7690E-08 2.3429E+00
 3.0000E+10 4.5130E-08 2.3463E+00
 4.0000E+10 3.3840E-08 2.3475E+00
 5.0000E+10 2.7070E-08 2.3487E+00
 6.0000E+10 2.2560E-08 2.3498E+00
 8.0000E+10 1.6920E-08 2.3509E+00
 1.0000E+11 1.3540E-08 2.3510E+00
