C
C     One-electron Compton profiles and ionization energies for
C  the elements Z=1-92.
C
C |--- Atomic number, Z.
C | |--- Shell (nlj). j is indicated with a plus sign if j=l+1/2,
C | |    and with a minus sign if j=l-1/2.
C | |   |--- Shell occupation number, Zi.
C | |   | |--- One-electron Compton profile at p=0, in atomic
C | |   | |    units. Taken from F. Biggs, L. B. Mendelsohn and
C | |   | |    J. B. Mann, At. Data and Nucl. Data Tables 16
C | |   | |    (1975) 201.
C | |   | |            |--- Ionization energy (eV).
C | |   | |            |
 61 4f- 6 7.93E-1 000006
 61 4f+ 1 1.34E-1 000006
 62 1s+ 2 1.27E-2 046835
 62 2s+ 2 4.52E-2 007737
 62 2p- 2 2.23E-2 007312
 62 2p+ 4 2.39E-2 006717
 62 3s+ 2 1.01E-1 001728
 62 3p- 2 5.99E-2 001546
 62 3p+ 4 6.26E-2 001425
 62 3d- 4 4.12E-2 001111
 62 3d+ 6 4.17E-2 001085
 62 4s+ 2 2.17E-1 000351
 62 4p- 2 1.39E-1 000251
 62 4p+ 4 1.45E-1 000251
 62 4d- 4 1.15E-1 000137
 62 4d+ 6 1.16E-1 000132
 62 5s+ 2 5.75E-1 000033
 62 5p- 2 3.91E-1 000026
 62 5p+ 4 4.20E-1 000026
 62 4f- 6 1.29E-1 000006
 62 4f+ 2 2.09E+0 000006
 63 1s+ 2 1.24E-2 048519
 63 2s+ 2 4.43E-2 008052
 63 2p- 2 2.19E-2 007618
 63 2p+ 4 2.34E-2 006977
 63 3s+ 2 9.92E-2 001805
 63 3p- 2 5.86E-2 001619
 63 3p+ 4 6.13E-2 001486
 63 3d- 4 4.03E-2 001166
 63 3d+ 6 4.08E-2 001136
 63 4s+ 2 2.12E-1 000366
 63 4p- 2 1.35E-1 000261
 63 4p+ 4 1.42E-1 000261
 63 4d- 4 1.12E-1 000141
 63 4d+ 6 1.14E-1 000136
 63 5s+ 2 5.64E-1 000037
 63 5p- 2 3.84E-1 000027
 63 5p+ 4 4.13E-1 000027
 63 4f- 6 1.24E-1 000006
 63 4f+ 3 1.42E+0 000006
 64 1s+ 2 1.22E-2 050239
 64 2s+ 2 4.34E-2 008376
 64 2p- 2 2.14E-2 007931
 64 2p+ 4 2.30E-2 007243
 64 3s+ 2 9.71E-2 001888
 64 3p- 2 5.73E-2 001695
 64 3p+ 4 6.01E-2 001551
 64 3d- 4 3.94E-2 001225
 64 3d+ 6 3.99E-2 001193
 64 4s+ 2 2.07E-1 000383
 64 4p- 2 1.32E-1 000311
 64 4p+ 4 1.38E-1 000272
 64 4d- 4 1.09E-1 000147
 64 4d+ 6 1.10E-1 000142
 64 5s+ 2 5.38E-1 000043
 64 5p- 2 3.66E-1 000028
 64 5p+ 4 3.91E-1 000028
 64 4f- 6 1.13E-1 000006
 64 4f+ 4 1.11E+0 000006
 65 1s+ 2 1.20E-2 051996
 65 2s+ 2 4.26E-2 008708
 65 2p- 2 2.10E-2 008252
 65 2p+ 4 2.26E-2 007515
 65 3s+ 2 9.50E-2 001970
 65 3p- 2 5.61E-2 001770
 65 3p+ 4 5.89E-2 001614
 65 3d- 4 3.86E-2 001278
 65 3d+ 6 3.91E-2 001244
 65 4s+ 2 2.03E-1 000400
 65 4p- 2 1.29E-1 000322
 65 4p+ 4 1.36E-1 000284
 65 4d- 4 1.07E-1 000152
 65 4d+ 6 1.08E-1 000148
 65 5s+ 2 5.44E-1 000042
 65 5p- 2 3.70E-1 000028
 65 5p+ 4 4.00E-1 000028
 65 4f- 6 1.16E-1 000006
 65 4f+ 5 8.85E-1 000006
 66 1s+ 2 1.17E-2 053788
 66 2s+ 2 4.18E-2 009047
 66 2p- 2 2.06E-2 008581
 66 2p+ 4 2.22E-2 007790
 66 3s+ 2 9.31E-2 002050
 66 3p- 2 5.49E-2 001845
 66 3p+ 4 5.77E-2 001679
 66 3d- 4 3.78E-2 001335
 66 3d+ 6 3.84E-2 001298
 66 4s+ 2 1.99E-1 000419
 66 4p- 2 1.26E-1 000339
 66 4p+ 4 1.33E-1 000297
 66 4d- 4 1.04E-1 000158
 66 4d+ 6 1.06E-1 000155
 66 5s+ 2 5.35E-1 000066
 66 5p- 2 3.64E-1 000029
 66 5p+ 4 3.94E-1 000029
 66 4f- 6 1.13E-1 000006
 66 4f+ 6 7.48E-1 000006
 67 1s+ 2 1.15E-2 055618
 67 2s+ 2 4.10E-2 009395
 67 2p- 2 2.02E-2 008918
 67 2p+ 4 2.19E-2 008071
 67 3s+ 2 9.12E-2 002123
 67 3p- 2 5.37E-2 001918
 67 3p+ 4 5.66E-2 001736
 67 3d- 4 3.70E-2 001386
 67 3d+ 6 3.76E-2 001346
 67 4s+ 2 1.94E-1 000431
 67 4p- 2 1.23E-1 000349
 67 4p+ 4 1.30E-1 000309
 67 4d- 4 1.02E-1 000164
 67 4d+ 6 1.04E-1 000161
 67 5s+ 2 5.26E-1 000051
 67 5p- 2 3.58E-1 000020
 67 5p+ 4 3.88E-1 000020
 67 4f- 6 1.10E-1 000006
 67 4f+ 7 6.50E-1 000006
 68 1s+ 2 1.13E-2 057486
 68 2s+ 2 4.02E-2 009752
 68 2p- 2 1.98E-2 009265
 68 2p+ 4 2.15E-2 008358
 68 3s+ 2 8.93E-2 002211
 68 3p- 2 5.26E-2 002010
 68 3p+ 4 5.56E-2 001816
 68 3d- 4 3.62E-2 001457
 68 3d+ 6 3.69E-2 001413
 68 4s+ 2 1.90E-1 000453
 68 4p- 2 1.21E-1 000366
 68 4p+ 4 1.28E-1 000320
 68 4d- 4 9.96E-2 000172
 68 4d+ 6 1.01E-1 000169
 68 5s+ 2 5.17E-1 000064
 68 5p- 2 3.53E-1 000033
 68 5p+ 4 3.83E-1 000033
 68 4f- 6 1.07E-1 000006
 68 4f+ 8 5.75E-1 000006
 69 1s+ 2 1.11E-2 059390
 69 2s+ 2 3.95E-2 010116
 69 2p- 2 1.94E-2 009617
 69 2p+ 4 2.11E-2 008648
 69 3s+ 2 8.76E-2 002305
 69 3p- 2 5.16E-2 002088
 69 3p+ 4 5.45E-2 001883
 69 3d- 4 3.55E-2 001513
 69 3d+ 6 3.62E-2 001466
 69 4s+ 2 1.86E-1 000470
 69 4p- 2 1.18E-1 000382
 69 4p+ 4 1.25E-1 000333
 69 4d- 4 9.75E-2 000180
 69 4d+ 6 9.94E-2 000176
 69 5s+ 2 5.09E-1 000051
 69 5p- 2 3.47E-1 000030
 69 5p+ 4 3.78E-1 000030
 69 4f- 6 1.04E-1 000006
 69 4f+ 8 3.37E-1 000006
 69 5d- 1 1.95E+0 000006
 70 1s+ 2 1.09E-2 061332
 70 2s+ 2 3.88E-2 010487
 70 2p- 2 1.90E-2 009978
 70 2p+ 4 2.08E-2 008943
 70 3s+ 2 8.59E-2 002397
 70 3p- 2 5.05E-2 002172
 70 3p+ 4 5.35E-2 001949
 70 3d- 4 3.48E-2 001576
 70 3d+ 6 3.55E-2 001527
 70 4s+ 2 1.83E-1 000487
 70 4p- 2 1.16E-1 000399
 70 4p+ 4 1.23E-1 000346
 70 4d- 4 9.54E-2 000189
 70 4d+ 6 9.74E-2 000185
 70 5s+ 2 5.01E-1 000053
 70 5p- 2 3.42E-1 000023
 70 5p+ 4 3.73E-1 000023
 70 4f- 6 1.02E-1 000006
 70 4f+ 8 1.05E-1 000006
 70 5d- 2 1.94E+0 000006
 71 1s+ 2 1.07E-2 063314
 71 2s+ 2 3.81E-2 010870
 71 2p- 2 1.87E-2 010349
 71 2p+ 4 2.05E-2 009244
 71 3s+ 2 8.42E-2 002491
 71 3p- 2 4.95E-2 002264
 71 3p+ 4 5.26E-2 002024
 71 3d- 4 3.42E-2 001640
 71 3d+ 6 3.49E-2 001589
 71 4s+ 2 1.79E-1 000507
 71 4p- 2 1.13E-1 000412
 71 4p+ 4 1.20E-1 000359
 71 4d- 4 9.31E-2 000206
 71 4d+ 6 9.51E-2 000196
 71 5s+ 2 4.80E-1 000057
 71 5p- 2 3.27E-1 000028
 71 5p+ 4 3.54E-1 000028
 71 4f- 6 9.53E-2 000005
 71 4f+ 8 9.67E-2 000005
 71 5d- 3 1.34E+0 000005
 72 1s+ 2 1.05E-2 065351
 72 2s+ 2 3.74E-2 011272
 72 2p- 2 1.83E-2 010739
 72 2p+ 4 2.01E-2 009561
 72 3s+ 2 8.26E-2 002601
 72 3p- 2 4.86E-2 002365
 72 3p+ 4 5.17E-2 002108
 72 3d- 4 3.36E-2 001716
 72 3d+ 6 3.43E-2 001662
 72 4s+ 2 1.75E-1 000538
 72 4p- 2 1.10E-1 000437
 72 4p+ 4 1.18E-1 000380
 72 4d- 4 9.08E-2 000224
 72 4d+ 6 9.27E-2 000214
 72 5s+ 2 4.61E-1 000065
 72 5p- 2 3.14E-1 000038
 72 5p+ 4 3.38E-1 000031
 72 4f- 6 8.98E-2 000019
 72 4f+ 8 9.07E-2 000017
 72 5d- 4 1.05E+0 000007
 73 1s+ 2 1.03E-2 067413
 73 2s+ 2 3.67E-2 011680
 73 2p- 2 1.80E-2 011136
 73 2p+ 4 1.98E-2 009881
 73 3s+ 2 8.11E-2 002705
 73 3p- 2 4.76E-2 002466
 73 3p+ 4 5.08E-2 002191
 73 3d- 4 3.30E-2 001790
 73 3d+ 6 3.37E-2 001732
 73 4s+ 2 1.71E-1 000563
 73 4p- 2 1.08E-1 000462
 73 4p+ 4 1.15E-1 000402
 73 4d- 4 8.85E-2 000239
 73 4d+ 6 9.05E-2 000227
 73 5s+ 2 4.43E-1 000068
 73 5p- 2 3.02E-1 000042
 73 5p+ 4 3.24E-1 000034
 73 4f- 6 8.53E-2 000025
 73 4f+ 8 8.58E-2 000023
 73 5d- 4 6.89E-1 000008
 73 5d+ 1 1.61E+0 000008
 74 1s+ 2 1.01E-2 069523
 74 2s+ 2 3.61E-2 012099
 74 2p- 2 1.77E-2 011542
 74 2p+ 4 1.95E-2 010205
 74 3s+ 2 7.96E-2 002817
 74 3p- 2 4.67E-2 002572
 74 3p+ 4 4.99E-2 002278
 74 3d- 4 3.24E-2 001869
 74 3d+ 6 3.31E-2 001807
 74 4s+ 2 1.67E-1 000592
 74 4p- 2 1.05E-1 000489
 74 4p+ 4 1.13E-1 000423
 74 4d- 4 8.63E-2 000255
 74 4d+ 6 8.83E-2 000243
 74 5s+ 2 4.27E-1 000074
 74 5p- 2 2.91E-1 000044
 74 5p+ 4 3.11E-1 000034
 74 4f- 6 8.13E-2 000034
 74 4f+ 8 8.17E-2 000032
 74 5d- 4 3.52E-1 000008
 74 5d+ 2 1.55E+0 000008
 75 1s+ 2 9.97E-3 071675
 75 2s+ 2 3.54E-2 012527
 75 2p- 2 1.73E-2 011957
 75 2p+ 4 1.92E-2 010535
 75 3s+ 2 7.81E-2 002932
 75 3p- 2 4.58E-2 002682
 75 3p+ 4 4.91E-2 002367
 75 3d- 4 3.18E-2 001949
 75 3d+ 6 3.25E-2 001883
 75 4s+ 2 1.63E-1 000625
 75 4p- 2 1.03E-1 000518
 75 4p+ 4 1.10E-1 000445
 75 4d- 4 8.42E-2 000274
 75 4d+ 6 8.62E-2 000260
 75 5s+ 2 4.12E-1 000083
 75 5p- 2 2.79E-1 000046
 75 5p+ 4 3.00E-1 000035
 75 4f- 6 7.77E-2 000043
 75 4f+ 8 7.82E-2 000040
 75 5d- 4 3.27E-1 000008
 75 5d+ 3 1.11E+0 000008
 76 1s+ 2 9.80E-3 073871
 76 2s+ 2 3.48E-2 012968
 76 2p- 2 1.70E-2 012385
 76 2p+ 4 1.89E-2 010871
 76 3s+ 2 7.67E-2 003049
 76 3p- 2 4.50E-2 002792
 76 3p+ 4 4.82E-2 002458
 76 3d- 4 3.12E-2 002031
 76 3d+ 6 3.20E-2 001960
 76 4s+ 2 1.60E-1 000655
 76 4p- 2 1.01E-1 000547
 76 4p+ 4 1.08E-1 000469
 76 4d- 4 8.22E-2 000290
 76 4d+ 6 8.42E-2 000273
 76 5s+ 2 3.97E-1 000084
 76 5p- 2 2.68E-1 000058
 76 5p+ 4 2.90E-1 000046
 76 4f- 6 7.44E-2 000054
 76 4f+ 8 7.51E-2 000051
 76 5d- 4 3.07E-1 000009
 76 5d+ 4 8.82E-1 000009
 77 1s+ 2 9.62E-3 076111
 77 2s+ 2 3.42E-2 013419
 77 2p- 2 1.67E-2 012824
 77 2p+ 4 1.87E-2 011215
 77 3s+ 2 7.53E-2 003174
 77 3p- 2 4.42E-2 002909
 77 3p+ 4 4.75E-2 002551
 77 3d- 4 3.07E-2 002116
 77 3d+ 6 3.14E-2 002041
 77 4s+ 2 1.56E-1 000690
 77 4p- 2 9.86E-2 000577
 77 4p+ 4 1.06E-1 000495
 77 4d- 4 8.03E-2 000312
 77 4d+ 6 8.22E-2 000296
 77 5s+ 2 3.84E-1 000096
 77 5p- 2 2.58E-1 000063
 77 5p+ 4 2.81E-1 000051
 77 4f- 6 7.16E-2 000064
 77 4f+ 8 7.23E-2 000061
 77 5d- 4 2.91E-1 000009
 77 5d+ 5 7.44E-1 000009
 78 1s+ 2 9.46E-3 078395
 78 2s+ 2 3.36E-2 013880
 78 2p- 2 1.64E-2 013273
 78 2p+ 4 1.84E-2 011564
 78 3s+ 2 7.40E-2 003298
 78 3p- 2 4.34E-2 003027
 78 3p+ 4 4.67E-2 002646
 78 3d- 4 3.02E-2 002202
 78 3d+ 6 3.09E-2 002121
 78 4s+ 2 1.53E-1 000724
 78 4p- 2 9.64E-2 000608
 78 4p+ 4 1.04E-1 000520
 78 4d- 4 7.84E-2 000332
 78 4d+ 6 8.03E-2 000315
 78 5s+ 2 3.75E-1 000102
 78 5p- 2 2.50E-1 000066
 78 5p+ 4 2.74E-1 000052
 78 4f- 6 6.90E-2 000075
 78 4f+ 8 6.98E-2 000071
 78 5d- 4 2.87E-1 000009
 78 5d+ 6 4.95E-1 000009
 79 1s+ 2 9.29E-3 080722
 79 2s+ 2 3.31E-2 014353
 79 2p- 2 1.61E-2 013733
 79 2p+ 4 1.81E-2 011918
 79 3s+ 2 7.27E-2 003425
 79 3p- 2 4.26E-2 003150
 79 3p+ 4 4.59E-2 002743
 79 3d- 4 2.97E-2 002291
 79 3d+ 6 3.04E-2 002206
 79 4s+ 2 1.50E-1 000759
 79 4p- 2 9.43E-2 000644
 79 4p+ 4 1.02E-1 000546
 79 4d- 4 7.67E-2 000352
 79 4d+ 6 7.85E-2 000334
 79 5s+ 2 3.63E-1 000108
 79 5p- 2 2.42E-1 000072
 79 5p+ 4 2.66E-1 000054
 79 4f- 6 6.66E-2 000088
 79 4f+ 8 6.75E-2 000084
 79 5d- 4 2.73E-1 000009
 79 5d+ 6 2.88E-1 000009
 79 6s+ 1 1.41E+0 000009
 80 1s+ 2 9.13E-3 083103
 80 2s+ 2 3.25E-2 014839
 80 2p- 2 1.58E-2 014209
 80 2p+ 4 1.79E-2 012284
 80 3s+ 2 7.14E-2 003562
 80 3p- 2 4.18E-2 003279
 80 3p+ 4 4.52E-2 002847
 80 3d- 4 2.92E-2 002385
 80 3d+ 6 3.00E-2 002295
 80 4s+ 2 1.47E-1 000800
 80 4p- 2 9.23E-2 000677
 80 4p+ 4 9.95E-2 000571
 80 4d- 4 7.50E-2 000379
 80 4d+ 6 7.68E-2 000360
 80 5s+ 2 3.50E-1 000120
 80 5p- 2 2.33E-1 000081
 80 5p+ 4 2.56E-1 000058
 80 4f- 6 6.45E-2 000104
 80 4f+ 8 6.53E-2 000100
 80 5d- 4 2.52E-1 000010
 80 5d+ 6 2.65E-1 000010
 80 6s+ 2 1.29E+0 000010
 81 1s+ 2 8.98E-3 085529
 81 2s+ 2 3.20E-2 015347
 81 2p- 2 1.55E-2 014698
 81 2p+ 4 1.76E-2 012657
 81 3s+ 2 7.02E-2 003704
 81 3p- 2 4.11E-2 003416
 81 3p+ 4 4.45E-2 002957
 81 3d- 4 2.87E-2 002485
 81 3d+ 6 2.95E-2 002390
 81 4s+ 2 1.44E-1 000846
 81 4p- 2 9.03E-2 000722
 81 4p+ 4 9.76E-2 000609
 81 4d- 4 7.33E-2 000407
 81 4d+ 6 7.51E-2 000386
 81 5s+ 2 3.37E-1 000137
 81 5p- 2 2.24E-1 000100
 81 5p+ 4 2.46E-1 000076
 81 4f- 6 6.25E-2 000123
 81 4f+ 8 6.33E-2 000119
 81 5d- 4 2.35E-1 000015
 81 5d+ 6 2.44E-1 000012
 81 6s+ 2 1.15E+0 000006
 81 6p- 1 9.13E-1 000006
 82 1s+ 2 8.82E-3 088005
 82 2s+ 2 3.14E-2 015861
 82 2p- 2 1.53E-2 015200
 82 2p+ 4 1.74E-2 013035
 82 3s+ 2 6.89E-2 003851
 82 3p- 2 4.03E-2 003554
 82 3p+ 4 4.38E-2 003066
 82 3d- 4 2.83E-2 002586
 82 3d+ 6 2.90E-2 002484
 82 4s+ 2 1.41E-1 000894
 82 4p- 2 8.84E-2 000764
 82 4p+ 4 9.57E-2 000645
 82 4d- 4 7.18E-2 000434
 82 4d+ 6 7.35E-2 000412
 82 5s+ 2 3.25E-1 000148
 82 5p- 2 2.15E-1 000105
 82 5p+ 4 2.37E-1 000086
 82 4f- 6 6.06E-2 000141
 82 4f+ 8 6.14E-2 000136
 82 5d- 4 2.21E-1 000020
 82 5d+ 6 2.27E-1 000018
 82 6s+ 2 1.04E+0 000007
 82 6p- 2 8.08E-1 000007
 83 1s+ 2 8.67E-3 090526
 83 2s+ 2 3.09E-2 016388
 83 2p- 2 1.50E-2 015709
 83 2p+ 4 1.71E-2 013418
 83 3s+ 2 6.78E-2 003999
 83 3p- 2 3.96E-2 003696
 83 3p+ 4 4.32E-2 003177
 83 3d- 4 2.78E-2 002687
 83 3d+ 6 2.86E-2 002580
 83 4s+ 2 1.38E-1 000939
 83 4p- 2 8.66E-2 000805
 83 4p+ 4 9.39E-2 000679
 83 4d- 4 7.03E-2 000464
 83 4d+ 6 7.20E-2 000441
 83 5s+ 2 3.14E-1 000160
 83 5p- 2 2.07E-1 000117
 83 5p+ 4 2.28E-1 000093
 83 4f- 6 5.89E-2 000162
 83 4f+ 8 5.97E-2 000157
 83 5d- 4 2.08E-1 000027
 83 5d+ 6 2.14E-1 000025
 83 6s+ 2 9.55E-1 000007
 83 6p- 2 7.13E-1 000007
 83 6p+ 1 8.32E-1 000007
 84 1s+ 2 8.52E-3 093105
 84 2s+ 2 3.04E-2 016939
 84 2p- 2 1.47E-2 016244
 84 2p+ 4 1.69E-2 013814
 84 3s+ 2 6.66E-2 004149
 84 3p- 2 3.90E-2 003854
 84 3p+ 4 4.25E-2 003302
 84 3d- 4 2.74E-2 002798
 84 3d+ 6 2.82E-2 002683
 84 4s+ 2 1.35E-1 000995
 84 4p- 2 8.48E-2 000851
 84 4p+ 4 9.21E-2 000705
 84 4d- 4 6.88E-2 000500
 84 4d+ 6 7.06E-2 000473
 84 5s+ 2 3.03E-1 000177
 84 5p- 2 2.00E-1 000132
 84 5p+ 4 2.20E-1 000104
 84 4f- 6 5.73E-2 000184
 84 4f+ 8 5.80E-2 000184
 84 5d- 4 1.97E-1 000031
 84 5d+ 6 2.03E-1 000031
 84 6s+ 2 8.87E-1 000012
 84 6p- 2 6.45E-1 000008
 84 6p+ 2 7.53E-1 000008
 85 1s+ 2 8.38E-3 095730
 85 2s+ 2 2.99E-2 017493
 85 2p- 2 1.45E-2 016785
 85 2p+ 4 1.67E-2 014214
 85 3s+ 2 6.55E-2 004317
 85 3p- 2 3.83E-2 004008
 85 3p+ 4 4.19E-2 003426
 85 3d- 4 2.70E-2 002909
 85 3d+ 6 2.78E-2 002787
 85 4s+ 2 1.32E-1 001042
 85 4p- 2 8.31E-2 000886
 85 4p+ 4 9.04E-2 000740
 85 4d- 4 6.74E-2 000533
 85 4d+ 6 6.91E-2 000507
 85 5s+ 2 2.93E-1 000195
 85 5p- 2 1.93E-1 000148
 85 5p+ 4 2.12E-1 000115
 85 4f- 6 5.58E-2 000210
 85 4f+ 8 5.65E-2 000210
 85 5d- 4 1.88E-1 000040
 85 5d+ 6 1.94E-1 000040
 85 6s+ 2 8.30E-1 000018
 85 6p- 2 5.93E-1 000010
 85 6p+ 3 6.92E-1 000010
 86 1s+ 2 8.23E-3 098400
 86 2s+ 2 2.94E-2 018049
 86 2p- 2 1.42E-2 017337
 86 2p+ 4 1.65E-2 014619
 86 3s+ 2 6.44E-2 004482
 86 3p- 2 3.76E-2 004159
 86 3p+ 4 4.13E-2 003538
 86 3d- 4 2.66E-2 003022
 86 3d+ 6 2.74E-2 002892
 86 4s+ 2 1.30E-1 001097
 86 4p- 2 8.14E-2 000929
 86 4p+ 4 8.87E-2 000768
 86 4d- 4 6.61E-2 000567
 86 4d+ 6 6.78E-2 000541
 86 5s+ 2 2.84E-1 000214
 86 5p- 2 1.87E-1 000164
 86 5p+ 4 2.05E-1 000127
 86 4f- 6 5.43E-2 000238
 86 4f+ 8 5.50E-2 000238
 86 5d- 4 1.79E-1 000048
 86 5d+ 6 1.85E-1 000048
 86 6s+ 2 7.82E-1 000026
 86 6p- 2 5.51E-1 000011
 86 6p+ 4 6.44E-1 000011
 87 1s+ 2 8.09E-3 101140
 87 2s+ 2 2.89E-2 018639
 87 2p- 2 1.40E-2 017906
 87 2p+ 4 1.62E-2 015031
 87 3s+ 2 6.34E-2 004652
 87 3p- 2 3.70E-2 004327
 87 3p+ 4 4.07E-2 003663
 87 3d- 4 2.62E-2 003136
 87 3d+ 6 2.70E-2 003000
 87 4s+ 2 1.27E-1 001153
 87 4p- 2 7.98E-2 000980
 87 4p+ 4 8.71E-2 000810
 87 4d- 4 6.48E-2 000603
 87 4d+ 6 6.65E-2 000577
 87 5s+ 2 2.75E-1 000234
 87 5p- 2 1.81E-1 000182
 87 5p+ 4 1.99E-1 000140
 87 4f- 6 5.30E-2 000268
 87 4f+ 8 5.37E-2 000268
 87 5d- 4 1.72E-1 000058
 87 5d+ 6 1.77E-1 000058
 87 6s+ 2 7.14E-1 000034
 87 6p- 2 4.96E-1 000015
 87 6p+ 4 5.71E-1 000015
 87 5f- 1 2.65E+0 000004
 88 1s+ 2 7.96E-3 103920
 88 2s+ 2 2.85E-2 019237
 88 2p- 2 1.37E-2 018484
 88 2p+ 4 1.60E-2 015444
 88 3s+ 2 6.23E-2 004822
 88 3p- 2 3.64E-2 004490
 88 3p+ 4 4.01E-2 003792
 88 3d- 4 2.58E-2 003248
 88 3d+ 6 2.66E-2 003105
 88 4s+ 2 1.25E-1 001208
 88 4p- 2 7.82E-2 001058
 88 4p+ 4 8.56E-2 000879
 88 4d- 4 6.35E-2 000636
 88 4d+ 6 6.52E-2 000603
 88 5s+ 2 2.66E-1 000254
 88 5p- 2 1.75E-1 000200
 88 5p+ 4 1.92E-1 000153
 88 4f- 6 5.17E-2 000299
 88 4f+ 8 5.24E-2 000299
 88 5d- 4 1.65E-1 000068
 88 5d+ 6 1.70E-1 000068
 88 6s+ 2 6.57E-1 000044
 88 6p- 2 4.56E-1 000019
 88 6p+ 4 5.20E-1 000019
 88 5f- 2 2.19E+0 000005
 89 1s+ 2 7.82E-3 106760
 89 2s+ 2 2.80E-2 019840
 89 2p- 2 1.35E-2 019083
 89 2p+ 4 1.58E-2 015871
 89 3s+ 2 6.13E-2 005002
 89 3p- 2 3.58E-2 004656
 89 3p+ 4 3.95E-2 003909
 89 3d- 4 2.54E-2 003370
 89 3d+ 6 2.62E-2 003219
 89 4s+ 2 1.22E-1 001269
 89 4p- 2 7.67E-2 001080
 89 4p+ 4 8.41E-2 000890
 89 4d- 4 6.23E-2 000675
 89 4d+ 6 6.40E-2 000639
 89 5s+ 2 2.58E-1 000272
 89 5p- 2 1.69E-1 000215
 89 5p+ 4 1.87E-1 000167
 89 4f- 6 5.05E-2 000319
 89 4f+ 8 5.12E-2 000319
 89 5d- 4 1.58E-1 000080
 89 5d+ 6 1.63E-1 000080
 89 6s+ 2 6.17E-1 000050
 89 6p- 2 4.29E-1 000035
 89 6p+ 4 4.84E-1 000031
 89 5f- 3 1.53E+0 000007
 90 1s+ 2 7.69E-3 109650
 90 2s+ 2 2.75E-2 020472
 90 2p- 2 1.33E-2 019693
 90 2p+ 4 1.56E-2 016300
 90 3s+ 2 6.03E-2 005182
 90 3p- 2 3.52E-2 004831
 90 3p+ 4 3.90E-2 004046
 90 3d- 4 2.50E-2 003491
 90 3d+ 6 2.59E-2 003332
 90 4s+ 2 1.20E-1 001330
 90 4p- 2 7.52E-2 001168
 90 4p+ 4 8.26E-2 000968
 90 4d- 4 6.11E-2 000714
 90 4d+ 6 6.28E-2 000677
 90 5s+ 2 2.51E-1 000290
 90 5p- 2 1.64E-1 000229
 90 5p+ 4 1.81E-1 000182
 90 4f- 6 4.93E-2 000344
 90 4f+ 8 5.00E-2 000335
 90 5d- 4 1.52E-1 000095
 90 5d+ 6 1.57E-1 000088
 90 6s+ 2 5.85E-1 000060
 90 6p- 2 4.08E-1 000049
 90 6p+ 4 4.56E-1 000043
 90 5f- 4 1.20E+0 000006
 91 1s+ 2 7.56E-3 112600
 91 2s+ 2 2.71E-2 021105
 91 2p- 2 1.30E-2 020314
 91 2p+ 4 1.54E-2 016733
 91 3s+ 2 5.93E-2 005367
 91 3p- 2 3.46E-2 005001
 91 3p+ 4 3.84E-2 004174
 91 3d- 4 2.47E-2 003611
 91 3d+ 6 2.55E-2 003442
 91 4s+ 2 1.18E-1 001387
 91 4p- 2 7.38E-2 001224
 91 4p+ 4 8.12E-2 001007
 91 4d- 4 6.00E-2 000743
 91 4d+ 6 6.17E-2 000708
 91 5s+ 2 2.45E-1 000310
 91 5p- 2 1.61E-1 000223
 91 5p+ 4 1.77E-1 000223
 91 4f- 6 4.82E-2 000371
 91 4f+ 8 4.89E-2 000360
 91 5d- 4 1.49E-1 000094
 91 5d+ 6 1.53E-1 000094
 91 6s+ 2 2.07E-1 000065
 91 6p- 2 5.80E-1 000045
 91 6p+ 4 4.59E-1 000038
 91 5f- 5 1.04E+0 000005
 92 1s+ 2 7.43E-3 115610
 92 2s+ 2 2.67E-2 021758
 92 2p- 2 1.28E-2 020948
 92 2p+ 4 1.52E-2 017168
 92 3s+ 2 5.84E-2 005548
 92 3p- 2 3.40E-2 005181
 92 3p+ 4 3.79E-2 004304
 92 3d- 4 2.43E-2 003728
 92 3d+ 6 2.52E-2 003552
 92 4s+ 2 1.15E-1 001442
 92 4p- 2 7.24E-2 001273
 92 4p+ 4 7.98E-2 001045
 92 4d- 4 5.89E-2 000780
 92 4d+ 6 6.06E-2 000738
 92 5s+ 2 2.38E-1 000324
 92 5p- 2 1.57E-1 000260
 92 5p+ 4 1.73E-1 000195
 92 4f- 6 4.72E-2 000392
 92 4f+ 8 4.79E-2 000381
 92 5d- 4 1.45E-1 000105
 92 5d+ 6 1.49E-1 000096
 92 6s+ 2 5.65E-1 000071
 92 6p- 2 3.90E-1 000043
 92 6p+ 4 4.50E-1 000033
 92 5f- 6 8.24E-1 000004
