C
C     One-electron Compton profiles and ionization energies for
C  the elements Z=1-92.
C
C |--- Atomic number, Z.
C | |--- Shell (nlj). j is indicated with a plus sign if j=l+1/2,
C | |    and with a minus sign if j=l-1/2.
C | |   |--- Shell occupation number, Zi.
C | |   | |--- One-electron Compton profile at p=0, in atomic
C | |   | |    units. Taken from F. Biggs, L. B. Mendelsohn and
C | |   | |    J. B. Mann, At. Data and Nucl. Data Tables 16
C | |   | |    (1975) 201.
C | |   | |            |--- Ionization energy (eV).
C | |   | |            |
 27 2p+ 4 6.21E-2 000781
 27 3s+ 2 3.39E-1 000101
 27 3p- 2 2.12E-1 000059
 27 3p+ 4 2.12E-1 000059
 27 3d- 4 4.83E-1 000008
 27 3d+ 5 4.83E-1 000008
 28 1s+ 2 3.11E-2 008332
 28 2s+ 2 1.17E-1 001010
 28 2p- 2 5.95E-2 000871
 28 2p+ 4 5.95E-2 000854
 28 3s+ 2 3.25E-1 000111
 28 3p- 2 2.02E-1 000067
 28 3p+ 4 2.02E-1 000067
 28 3d- 4 4.37E-1 000008
 28 3d+ 6 4.37E-1 000008
 29 1s+ 2 3.01E-2 008980
 29 2s+ 2 1.12E-1 001099
 29 2p- 2 5.71E-2 000953
 29 2p+ 4 5.71E-2 000933
 29 3s+ 2 3.15E-1 000122
 29 3p- 2 1.96E-1 000077
 29 3p+ 4 1.96E-1 000075
 29 3d- 4 1.85E-1 000008
 29 3d+ 6 1.85E-1 000008
 29 4s+ 1 1.64E+0 000008
 30 1s+ 2 2.90E-2 009661
 30 2s+ 2 1.08E-1 001196
 30 2p- 2 5.49E-2 001045
 30 2p+ 4 5.49E-2 001022
 30 3s+ 2 2.99E-1 000140
 30 3p- 2 1.86E-1 000091
 30 3p+ 4 1.86E-1 000089
 30 3d- 4 1.62E-1 000009
 30 3d+ 6 1.62E-1 000009
 30 4s+ 2 1.41E+0 000009
 31 1s+ 2 2.81E-2 010367
 31 2s+ 2 1.04E-1 001298
 31 2p- 2 5.28E-2 001143
 31 2p+ 4 5.28E-2 001117
 31 3s+ 2 2.85E-1 000158
 31 3p- 2 1.76E-1 000107
 31 3p+ 4 1.76E-1 000103
 31 3d- 4 1.46E-1 000018
 31 3d+ 6 1.46E-1 000018
 31 4s+ 2 1.18E+0 000006
 31 4p- 1 9.15E-1 000006
 32 1s+ 2 2.72E-2 011104
 32 2s+ 2 1.01E-1 001413
 32 2p- 2 5.09E-2 001249
 32 2p+ 4 5.09E-2 001217
 32 3s+ 2 2.71E-1 000181
 32 3p- 2 1.67E-1 000129
 32 3p+ 4 1.67E-1 000122
 32 3d- 4 1.33E-1 000029
 32 3d+ 6 1.33E-1 000029
 32 4s+ 2 1.03E+0 000008
 32 4p- 2 7.69E-1 000008
 33 1s+ 2 2.63E-2 011867
 33 2s+ 2 9.71E-2 001527
 33 2p- 2 4.91E-2 001359
 33 2p+ 4 4.91E-2 001323
 33 3s+ 2 2.58E-1 000204
 33 3p- 2 1.58E-1 000147
 33 3p+ 4 1.58E-1 000141
 33 3d- 4 1.23E-1 000042
 33 3d+ 6 1.23E-1 000042
 33 4s+ 2 9.22E-1 000010
 33 4p- 2 6.74E-1 000010
 33 4p+ 1 6.74E-1 000010
 34 1s+ 2 2.55E-2 012658
 34 2s+ 2 9.39E-2 001654
 34 2p- 2 4.75E-2 001476
 34 2p+ 4 4.75E-2 001436
 34 3s+ 2 2.47E-1 000231
 34 3p- 2 1.51E-1 000167
 34 3p+ 4 1.51E-1 000162
 34 3d- 4 1.14E-1 000056
 34 3d+ 6 1.14E-1 000056
 34 4s+ 2 8.39E-1 000010
 34 4p- 2 6.04E-1 000010
 34 4p+ 2 6.04E-1 000010
 35 1s+ 2 2.48E-2 013474
 35 2s+ 2 9.09E-2 001782
 35 2p- 2 4.59E-2 001596
 35 2p+ 4 4.59E-2 001550
 35 3s+ 2 2.36E-1 000257
 35 3p- 2 1.44E-1 000189
 35 3p+ 4 1.44E-1 000182
 35 3d- 4 1.07E-1 000070
 35 3d+ 6 1.07E-1 000069
 35 4s+ 2 7.72E-1 000027
 35 4p- 2 5.49E-1 000012
 35 4p+ 3 5.49E-1 000012
 36 1s+ 2 2.34E-2 014326
 36 2s+ 2 8.62E-2 001925
 36 2p- 2 4.33E-2 001731
 36 2p+ 4 4.43E-2 001678
 36 3s+ 2 2.22E-1 000293
 36 3p- 2 1.34E-1 000222
 36 3p+ 4 1.37E-1 000214
 36 3d- 4 1.01E-1 000095
 36 3d+ 6 1.01E-1 000094
 36 4s+ 2 7.05E-1 000027
 36 4p- 2 4.96E-1 000014
 36 4p+ 4 5.08E-1 000014
 37 1s+ 2 2.27E-2 015200
 37 2s+ 2 8.35E-2 002065
 37 2p- 2 4.19E-2 001865
 37 2p+ 4 4.29E-2 001805
 37 3s+ 2 2.13E-1 000321
 37 3p- 2 1.29E-1 000248
 37 3p+ 4 1.31E-1 000239
 37 3d- 4 9.50E-2 000112
 37 3d+ 6 9.57E-2 000111
 37 4s+ 2 6.31E-1 000029
 37 4p- 2 4.33E-1 000014
 37 4p+ 4 4.43E-1 000014
 37 4d- 1 2.56E+0 000004
 38 1s+ 2 2.21E-2 016105
 38 2s+ 2 8.09E-2 002216
 38 2p- 2 4.06E-2 002007
 38 2p+ 4 4.16E-2 001940
 38 3s+ 2 2.04E-1 000358
 38 3p- 2 1.23E-1 000280
 38 3p+ 4 1.25E-1 000269
 38 3d- 4 9.01E-2 000135
 38 3d+ 6 9.07E-2 000133
 38 4s+ 2 5.73E-1 000038
 38 4p- 2 3.89E-1 000020
 38 4p+ 4 3.97E-1 000020
 38 4d- 2 2.06E+0 000006
 39 1s+ 2 2.15E-2 017039
 39 2s+ 2 7.85E-2 002373
 39 2p- 2 3.94E-2 002155
 39 2p+ 4 4.04E-2 002080
 39 3s+ 2 1.96E-1 000395
 39 3p- 2 1.18E-1 000313
 39 3p+ 4 1.20E-1 000301
 39 3d- 4 8.56E-2 000160
 39 3d+ 6 8.63E-2 000158
 39 4s+ 2 5.33E-1 000046
 39 4p- 2 3.61E-1 000026
 39 4p+ 4 3.66E-1 000026
 39 4d- 3 1.42E+0 000006
 40 1s+ 2 2.09E-2 018000
 40 2s+ 2 7.62E-2 002534
 40 2p- 2 3.82E-2 002309
 40 2p+ 4 3.92E-2 002225
 40 3s+ 2 1.89E-1 000433
 40 3p- 2 1.14E-1 000347
 40 3p+ 4 1.16E-1 000333
 40 3d- 4 8.16E-2 000185
 40 3d+ 6 8.23E-2 000182
 40 4s+ 2 5.01E-1 000054
 40 4p- 2 3.39E-1 000031
 40 4p+ 4 3.42E-1 000031
 40 4d- 4 1.10E+0 000007
 41 1s+ 2 2.03E-2 018983
 41 2s+ 2 7.41E-2 002695
 41 2p- 2 3.71E-2 002462
 41 2p+ 4 3.81E-2 002368
 41 3s+ 2 1.82E-1 000466
 41 3p- 2 1.09E-1 000376
 41 3p+ 4 1.12E-1 000360
 41 3d- 4 7.79E-2 000205
 41 3d+ 6 7.87E-2 000202
 41 4s+ 2 4.80E-1 000055
 41 4p- 2 3.24E-1 000031
 41 4p+ 4 3.26E-1 000031
 41 4d- 4 3.85E-1 000007
 41 4d+ 1 1.88E+0 000007
 42 1s+ 2 1.98E-2 020000
 42 2s+ 2 7.20E-2 002866
 42 2p- 2 3.60E-2 002625
 42 2p+ 4 3.71E-2 002520
 42 3s+ 2 1.76E-1 000505
 42 3p- 2 1.05E-1 000410
 42 3p+ 4 1.08E-1 000393
 42 3d- 4 7.47E-2 000230
 42 3d+ 6 7.54E-2 000226
 42 4s+ 2 4.56E-1 000062
 42 4p- 2 3.06E-1 000035
 42 4p+ 4 3.09E-1 000035
 42 4d- 4 3.47E-1 000007
 42 4d+ 2 1.09E+0 000007
 43 1s+ 2 1.93E-2 021044
 43 2s+ 2 7.00E-2 003042
 43 2p- 2 3.50E-2 002793
 43 2p+ 4 3.61E-2 002677
 43 3s+ 2 1.70E-1 000544
 43 3p- 2 1.02E-1 000445
 43 3p+ 4 1.04E-1 000425
 43 3d- 4 7.17E-2 000257
 43 3d+ 6 7.24E-2 000253
 43 4s+ 2 4.30E-1 000068
 43 4p- 2 2.87E-1 000039
 43 4p+ 4 2.91E-1 000039
 43 4d- 4 2.99E-1 000007
 43 4d+ 3 1.18E+0 000007
 44 1s+ 2 1.88E-2 022117
 44 2s+ 2 6.82E-2 003224
 44 2p- 2 3.41E-2 002967
 44 2p+ 4 3.52E-2 002838
 44 3s+ 2 1.64E-1 000585
 44 3p- 2 9.82E-2 000483
 44 3p+ 4 1.01E-1 000461
 44 3d- 4 6.90E-2 000284
 44 3d+ 6 6.97E-2 000279
 44 4s+ 2 4.16E-1 000075
 44 4p- 2 2.76E-1 000043
 44 4p+ 4 2.81E-1 000043
 44 4d- 4 2.96E-1 000007
 44 4d+ 4 6.62E-1 000007
 45 1s+ 2 1.84E-2 023220
 45 2s+ 2 6.64E-2 003412
 45 2p- 2 3.32E-2 003146
 45 2p+ 4 3.43E-2 003004
 45 3s+ 2 1.59E-1 000627
 45 3p- 2 9.49E-2 000521
 45 3p+ 4 9.73E-2 000496
 45 3d- 4 6.65E-2 000312
 45 3d+ 6 6.71E-2 000307
 45 4s+ 2 3.99E-1 000081
 45 4p- 2 2.63E-1 000048
 45 4p+ 4 2.70E-1 000048
 45 4d- 4 2.77E-1 000007
 45 4d+ 5 5.66E-1 000007
 46 1s+ 2 1.79E-2 024350
 46 2s+ 2 6.47E-2 003605
 46 2p- 2 3.23E-2 003331
 46 2p+ 4 3.35E-2 003174
 46 3s+ 2 1.54E-1 000670
 46 3p- 2 9.19E-2 000559
 46 3p+ 4 9.43E-2 000531
 46 3d- 4 6.42E-2 000340
 46 3d+ 6 6.47E-2 000335
 46 4s+ 2 3.86E-1 000086
 46 4p- 2 2.54E-1 000051
 46 4p+ 4 2.61E-1 000051
 46 4d- 4 2.78E-1 000008
 46 4d+ 6 2.85E-1 000008
 47 1s+ 2 1.75E-2 025514
 47 2s+ 2 6.31E-2 003806
 47 2p- 2 3.15E-2 003524
 47 2p+ 4 3.27E-2 003352
 47 3s+ 2 1.49E-1 000717
 47 3p- 2 8.91E-2 000602
 47 3p+ 4 9.15E-2 000573
 47 3d- 4 6.20E-2 000374
 47 3d+ 6 6.25E-2 000368
 47 4s+ 2 3.69E-1 000095
 47 4p- 2 2.42E-1 000059
 47 4p+ 4 2.49E-1 000059
 47 4d- 4 2.47E-1 000008
 47 4d+ 6 2.51E-1 000008
