"x_cm","y_cm","z_cm","dose_MeV_per_g","rel_sigma_percent"
"15.25","15.25","26.3","0.02289","0.00014"
"15.25","15.25","26.5","0.02279","0.00014"
"15.25","15.25","26.7","0.02275","0.00014"
"15.25","15.25","26.9","0.02254","0.00014"
"15.25","15.25","27.1","0.02248","0.00014"
"15.25","15.25","27.3","0.02231","0.00013"
"15.25","15.25","27.5","0.02216","0.00013"
"15.25","15.25","27.7","0.02208","0.00013"
"15.25","15.25","27.9","0.02197","0.00013"
"15.25","15.25","28.1","0.02185","0.00013"
"15.25","15.25","28.3","0.02177","0.00013"
"15.25","15.25","28.5","0.02151","0.00013"
"15.25","15.25","28.7","0.02141","0.00013"
"15.25","15.25","28.9","0.02134","0.00013"
"15.25","15.25","29.1","0.02118","0.00013"
"15.25","15.25","29.3","0.02108","0.00013"
"15.25","15.25","29.5","0.02097","0.00013"
"15.25","15.25","29.7","0.02073","0.00013"
"15.25","15.25","29.9","0.02004","0.00013"
