"x_cm","y_cm","z_cm","dose_MeV_per_g","rel_sigma_percent"
"15.25","15.25","24.9","0.0006334","5e-05"
"15.25","15.25","25.1","0.0006407","5.1e-05"
"15.25","15.25","25.3","0.0006019","4.9e-05"
"15.25","15.25","25.5","0.0006038","4.9e-05"
"15.25","15.25","25.7","0.0005653","4.8e-05"
"15.25","15.25","25.9","0.0004942","4.3e-05"
"15.25","15.25","26.1","0.0004974","4.4e-05"
"15.25","15.25","26.3","0.0004802","4.3e-05"
"15.25","15.25","26.5","0.0004941","4.3e-05"
"15.25","15.25","26.7","0.0005069","4.6e-05"
"15.25","15.25","26.9","0.0004671","4.4e-05"
"15.25","15.25","27.1","0.0004683","4.3e-05"
"15.25","15.25","27.3","0.0004622","4.3e-05"
"15.25","15.25","27.5","0.0004753","4.4e-05"
"15.25","15.25","27.7","0.00047","4.6e-05"
"15.25","15.25","27.9","0.0004162","4e-05"
"15.25","15.25","28.1","0.0004402","4.3e-05"
"15.25","15.25","28.3","0.0004451","4.1e-05"
"15.25","15.25","28.5","0.0004391","4.1e-05"
"15.25","15.25","28.7","0.0004096","3.9e-05"
"15.25","15.25","28.9","0.0004146","4e-05"
"15.25","15.25","29.1","0.0004099","4e-05"
"15.25","15.25","29.3","0.0003955","3.9e-05"
"15.25","15.25","29.5","0.0003906","4e-05"
"15.25","15.25","29.7","0.0003893","4e-05"
"15.25","15.25","29.9","0.0003692","3.8e-05"
